INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Pennsylvania State University-Penn State Altoona,Altoona,PA,www.altoona.psu.edu/,1,2,13,40.540682,-78.409112,22,13,0.8835,495,505,480,22,22,22,8,1001,28799,14588,21820,0.8141,54300,40900,44900,47600,50700,0.5474,0.4526
Pennsylvania State University-Penn State Beaver,Monaca,PA,www.beaver.psu.edu/,1,2,21,40.678254,-80.296235,21,6,0.8107,475,485,450,19,17,21,7,954,23197,13636,20322,0.7469,54300,40900,44900,47600,50700,0.6451,0.3549
Pennsylvania State University-Penn State Berks,Reading,PA,www.berks.psu.edu/,1,2,21,40.357987,-75.972141,21,10,0.8866,475,495,460,22,21,21,7,973,27877,14588,21820,0.7725,54300,40900,44900,47600,50700,0.5572,0.4428
Pennsylvania State University-Penn State Harrisburg,Middletown,PA,hbg.psu.edu/,1,2,21,40.205234,-76.741961,18,12,0.8208,490,530,485,23,23,25,7,1024,27487,14588,21820,0.8304,54300,40900,44900,47600,50700,0.5994,0.4006
Pennsylvania State University-Penn State Brandywine,Media,PA,www.brandywine.psu.edu/,1,2,21,39.928355,-75.447825,22,9,0.8477,470,495,463,22,21,22,7,968,19966,13942,20778,0.7252,54300,40900,44900,47600,50700,0.5855,0.4145
Pennsylvania State University-Penn State DuBois,DuBois,PA,www.dubois.psu.edu/,1,2,33,41.126941,-78.751784,23,6,0.8862,455,470,443,20,18,19,9,925,21000,13528,20214,0.7656,54300,40900,44900,47600,50700,0.5347,0.4653
Pennsylvania State University-Penn State Fayette- Eberly,Lemont Furnace,PA,www.fe.psu.edu/,1,2,41,39.946471,-79.655871,23,6,0.8359,455,455,425,21,18,22,7,914,20148,13588,20274,0.7742,54300,40900,44900,47600,50700,0.4219,0.5781
Pennsylvania State University-Penn State Hazleton,Hazleton,PA,hazleton.psu.edu/,1,2,23,40.984157,-76.031567,23,7,0.8598,470,475,455,21,19,21,7,946,26567,13882,20718,0.7908,54300,40900,44900,47600,50700,0.5442,0.4558
Pennsylvania State University-Main Campus,University Park,PA,www.psu.edu/,1,2,13,40.800732,-77.861644,15,16,0.5029,575,615,590,27,27,28,9,1196,33326,17502,30452,0.9315,54300,40900,44900,47600,50700,0.5359,0.4641
Pennsylvania State University-Penn State Greater Allegheny,McKeesport,PA,ga.psu.edu,1,2,21,40.344474,-79.827262,21,7,0.7584,475,490,455,21,22,21,8,967,24564,13648,20334,0.7249,54300,40900,44900,47600,50700,0.565,0.435
Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,www.montalto.psu.edu/,1,2,31,39.841914,-77.544068,23,7,0.7802,470,475,445,22,21,22,7,948,26224,13648,20334,0.75,54300,40900,44900,47600,50700,0.4098,0.5902
Pennsylvania State University-Penn State Abington,Abington,PA,www.abington.psu.edu/,1,2,21,40.116995,-75.110661,22,12,0.7934,460,490,460,21,21,22,7,951,19724,13942,20778,0.8171,54300,40900,44900,47600,50700,0.4896,0.5104
Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,www.sl.psu.edu,1,2,32,40.642583,-76.166371,22,7,0.7478,450,450,440,19,17,19,8,899,23930,13870,20706,0.75,54300,40900,44900,47600,50700,0.3934,0.6066
Pennsylvania State University-Penn State York,York,PA,www.yk.psu.edu/,1,2,22,39.952327,-76.702835,22,6,0.8335,495,525,475,22,20,22,7,1021,19907,13930,20766,0.7491,54300,40900,44900,47600,50700,0.5791,0.4209
Pennsylvania Academy of the Fine Arts,Philadelphia,PA,https://www.pafa.org,2,2,11,39.954736,-75.162718,30,6,0.9811,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45725,32695,32695,0.9286,26800,17000,18600,23700,23800,0.3432,0.6568
Pennsylvania College of Art and Design,Lancaster,PA,www.pcad.edu,2,2,13,40.04108,-76.308379,30,6,0.4229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28564,22000,22000,0.6667,29200,23300,24500,26600,27100,0.28,0.72
University of Pennsylvania,Philadelphia,PA,www.upenn.edu,2,2,11,39.951002,-75.193618,15,16,0.1037,720,735,735,33,34,32,9,1452,61800,47668,47668,0.9744,117100,89000,102200,106900,104600,0.4924,0.5076
Philadelphia University,Philadelphia,PA,www.philau.edu,2,2,11,40.021715,-75.193684,18,14,0.6394,530,545,525,23,23,23,NULL,1074,48575,35230,35230,0.791,50700,41500,42000,46100,48100,0.3404,0.6596
The University of the Arts,Philadelphia,PA,www.uarts.edu,2,2,11,39.946017,-75.165888,30,10,0.6954,520,490,505,21,NULL,NULL,NULL,1006,53508,38410,38410,0.8096,33300,25100,28000,31000,32800,0.4073,0.5927
Cairn University-Langhorne,Langhorne,PA,www.cairn.edu,2,2,21,40.165809,-74.909509,20,8,0.978,510,480,490,22,22,21,NULL,993,33730,23245,23245,0.7518,37000,32300,33500,33300,35600,0.4584,0.5416
University of the Sciences,Philadelphia,PA,www.usciences.edu,2,2,11,39.946552,-75.208241,26,10,0.5788,565,605,570,26,26,27,NULL,1169,50483,36096,36096,0.8818,91500,74900,87000,86200,89100,0.4108,0.5892
University of Pittsburgh-Bradford,Bradford,PA,www.upb.pitt.edu/,1,2,33,41.944173,-78.673039,22,11,0.6542,480,500,450,22,22,23,7,985,24809,13322,24138,0.7227,55900,40900,47600,51500,52500,0.4563,0.5437
University of Pittsburgh-Greensburg,Greensburg,PA,www.greensburg.pitt.edu/,1,2,21,40.292824,-79.535757,21,10,0.7452,505,510,490,21,21,22,8,1011,23352,13372,24188,0.7565,55900,40900,47600,51500,52500,0.481,0.519
