INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Boise State University,Boise,ID,www.boisestate.edu,1,7,12,43.604403,-116.205789,17,15,0.77,510,515,495,23,23,23,8,1042,19053,6641,19493,0.7494,41000,32500,34800,36700,39000,0.4733,0.5267
University of Idaho,Moscow,ID,www.uidaho.edu,1,7,41,46.726894,-117.024296,16,12,0.6748,515,525,NULL,24,24,23,NULL,1057,19381,6784,20314,0.7742,46000,33700,38400,39800,43700,0.5396,0.4604
The College of Idaho,Caldwell,ID,www.collegeofidaho.edu,2,7,22,43.652653,-116.676838,21,11,0.929,525,530,505,24,24,24,NULL,1076,35456,24955,24955,0.8591,44300,29100,35300,36300,40400,0.4789,0.5211
Lewis-Clark State College,Lewiston,ID,www.lcsc.edu,1,7,13,46.410034,-117.026371,22,12,0.9904,460,460,NULL,20,19,20,NULL,923,16517,8624,19142,0.612,36600,30500,32900,33200,33900,0.3857,0.6143
Northwest Nazarene University,Nampa,ID,www.nnu.edu,2,7,22,43.563181,-116.564792,18,11,0.6507,525,515,515,23,23,22,NULL,1052,35655,27340,27340,0.749,41300,35200,35100,39000,40700,0.3862,0.6138
Brigham Young University-Idaho,Rexburg,ID,www.byui.edu,2,7,32,43.815384,-111.784728,22,15,0.9962,515,505,NULL,23,22,22,NULL,1041,11139,3950,3950,0.6909,45900,32200,35600,39900,42000,0.4265,0.5735
