INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Eastern New Mexico University-Main Campus,Portales,NM,www.enmu.edu,1,6,33,34.179015,-103.348046,19,12,0.6306,470,495,NULL,20,19,20,NULL,935,15405,4858,10633,0.5933,33300,27500,28400,30100,31700,0.4256,0.5744
New Mexico Institute of Mining and Technology,Socorro,NM,www.nmt.edu,1,6,33,34.066035,-106.907491,20,11,0.3639,595,620,NULL,26,26,27,NULL,1193,18762,6256,18184,0.788,61000,46200,49700,48900,56300,0.7311,0.2689
University of New Mexico-Main Campus,Albuquerque,NM,www.unm.edu,1,6,11,35.083868,-106.620155,15,15,0.4538,550,553,NULL,23,22,22,NULL,1060,17401,6846,20664,0.7904,42000,32000,35700,37200,39800,0.4471,0.5529
New Mexico State University-Main Campus,Las Cruces,NM,www.nmsu.edu/,1,6,22,32.282875,-106.747841,16,15,0.696,468,490,465,21,20,21,7,984,16863,5950,19112,0.7371,38100,28500,33400,34000,37100,0.4723,0.5277
St. John's College,Santa Fe,NM,www.sjc.edu,2,6,41,35.666789,-105.912226,21,8,0.815,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59486,47826,47826,0.9024,35300,24800,27600,30200,37300,0.5647,0.4353
