INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
American University,Washington,DC,WWW.AMERICAN.EDU,2,2,11,38.937802,-77.090106,16,16,0.4584,635,610,625,28,29,27,9,1252,56620,41833,41833,0.8866,63300,43900,51500,55200,60900,0.3789,0.6211
Catholic University of America,Washington,DC,www.cua.edu,2,2,11,38.935796,-76.998961,16,14,0.7391,565,560,NULL,25,NULL,NULL,NULL,1130,55995,39726,39726,0.8218,57700,45500,49100,51100,55600,0.4676,0.5324
Gallaudet University,Washington,DC,www.gallaudet.edu,2,2,11,38.907371,-76.993675,19,11,0.6532,430,445,NULL,18,17,17,NULL,849,31988,15024,15024,0.665,30800,26500,27500,31000,31300,0.4585,0.5415
George Washington University,Washington,DC,www.gwu.edu,2,2,11,38.89865,-77.047871,15,17,0.4379,640,655,655,29,31,29,9,1297,61394,48760,48760,0.934,77700,56700,62700,70000,71600,0.442,0.558
Georgetown University,Washington,DC,www.georgetown.edu,2,2,11,38.908809,-77.073463,15,17,0.1735,710,710,NULL,32,NULL,NULL,NULL,1414,62179,46744,46744,0.963,110800,83200,95600,99400,101400,0.4531,0.5469
Howard University,Washington,DC,www.howard.edu,2,2,11,38.920739,-77.019478,16,14,0.4841,555,550,545,24,25,23,NULL,1105,41643,23970,23970,0.8503,50000,39200,44700,46000,48700,0.3254,0.6746
Trinity Washington University,Washington,DC,www.trinitydc.edu,2,2,11,38.927398,-77.004261,18,9,0.9085,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30725,22316,22316,0.6,44200,30800,39000,37400,53000,0.0366,0.9634
