INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Arizona State University-Tempe,Tempe,AZ,www.asu.edu/,1,6,12,33.422247,-111.934629,15,15,0.8433,565,580,NULL,25,25,26,NULL,1145,22312,10157,24503,0.8609,52100,39400,43300,46600,50400,0.5618,0.4382
University of Arizona,Tucson,AZ,www.arizona.edu,1,6,11,32.232071,-110.950769,15,15,0.7462,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24617,10957,29421,0.8189,53200,38100,43500,46200,49200,0.4788,0.5212
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,www.erau.edu,2,6,41,34.615678,-112.452285,22,10,0.8016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46174,31648,31648,0.8217,65700,49700,54700,59300,61400,0.7757,0.2243
Grand Canyon University,Phoenix,AZ,www.gcu.edu,3,6,11,33.512172,-112.129917,17,15,0.5757,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30945,17050,17050,0.6236,50800,43100,50500,51800,51100,0.2487,0.7513
Northern Arizona University,Flagstaff,AZ,nau.edu/,1,6,13,35.180095,-111.657653,16,16,0.8099,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22561,9990,22510,0.7364,43400,34700,37000,37900,41900,0.4238,0.5762
Prescott College,Prescott,AZ,www.prescott.edu,2,6,13,34.5445,-112.476509,20,6,0.6873,545,503,503,24,25,23,NULL,1073,41256,26415,26415,0.675,34200,27900,29100,30000,34100,0.4097,0.5903
Arizona Christian University,Phoenix,AZ,www.arizonachristian.edu,2,6,11,33.595117,-112.026211,22,7,0.5673,485,480,NULL,22,22,22,NULL,988,33945,22466,22466,0.7222,32400,26700,29000,32800,28600,0.5758,0.4242
University of Advancing Technology,Tempe,AZ,www.uat.edu,3,6,12,33.377712,-111.976087,28,8,0.8345,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32809,21150,21150,0.5794,53500,41300,41200,47300,49100,0.8457,0.1543
Chamberlain College of Nursing-Arizona,Phoenix,AZ,www.chamberlain.edu,3,6,11,33.56573,-112.104421,26,6,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34098,17280,17280,0.8,58000,65000,53600,57300,57300,0.1373,0.8627
