INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Brigham Young University-Provo,Provo,UT,www.byu.edu,2,7,12,40.250851,-111.649281,16,15,0.47,630,630,NULL,29,30,28,NULL,1290,17236,5000,5000,0.8686,67700,43300,49700,54900,61200,0.5452,0.4548
Southern Utah University,Cedar City,UT,www.suu.edu/,1,7,33,37.674617,-113.070146,18,12,0.6103,515,510,495,23,23,22,7,1063,18315,6138,18596,0.6554,42500,31200,34700,37400,39600,0.4719,0.5281
Utah State University,Logan,UT,www.usu.edu,1,7,13,41.740748,-111.81391,16,15,0.9783,530,520,NULL,23,23,22,NULL,1067,16572,6250,18250,0.7141,47800,34900,38800,41200,44900,0.4718,0.5282
University of Utah,Salt Lake City,UT,www.utah.edu,1,7,12,40.762484,-111.846044,15,15,0.8142,570,585,550,25,25,24,8,1131,18931,7835,25057,0.8868,59800,44600,47900,51800,54800,0.5555,0.4445
Westminster College,Salt Lake City,UT,www.westminstercollege.edu,2,7,12,40.731495,-111.855553,18,10,0.9576,558,560,NULL,25,24,25,NULL,1122,39868,30364,30364,0.7166,52200,41500,41700,47200,48600,0.457,0.543
Neumont University,Salt Lake City,UT,www.neumont.edu/,3,7,12,40.76613,-111.890571,28,8,0.8367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30963,24000,24000,0.8116,30700,61500,46100,63500,31700,0.9281,0.0719
