INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Northern Illinois University,Dekalb,IL,www.niu.edu,1,3,23,41.933791,-88.766065,16,16,0.5089,500,530,490,22,22,22,7,1030,27959,13505,22784,0.7053,47400,37000,39600,42400,45500,0.5074,0.4926
Northwestern University,Evanston,IL,www.northwestern.edu,2,3,13,42.058377,-87.673653,15,16,0.1311,730,745,730,33,NULL,33,9,1461,63028,47251,47251,0.9686,88400,67300,73300,73500,78800,0.4955,0.5045
Northeastern Illinois University,Chicago,IL,www.neiu.edu/,1,3,11,41.980567,-87.72013,18,12,0.5761,475,435,NULL,19,18,19,NULL,890,23095,8868,16164,0.6034,39600,32600,33400,35300,39300,0.4392,0.5608
Olivet Nazarene University,Bourbonnais,IL,www.olivet.edu,2,3,23,41.155489,-87.873654,18,14,0.7449,NULL,NULL,NULL,24,24,24,NULL,1105,40949,31390,31390,0.7689,42400,34300,37800,37500,39800,0.3764,0.6236
Quincy University,Quincy,IL,www.quincy.edu,2,3,33,39.939235,-91.387928,19,11,0.8893,475,450,NULL,22,22,21,NULL,1024,36972,26572,26572,0.7564,44300,33100,37900,37900,39400,0.44,0.56
Robert Morris University Illinois,Chicago,IL,www.robertmorris.edu/,2,3,11,41.876278,-87.627068,18,9,0.2433,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32037,23700,23700,0.5043,35100,29700,30300,31300,35900,0.504,0.496
Rockford University,Rockford,IL,www.rockford.edu,2,3,12,42.270639,-89.019536,20,10,0.548,495,490,475,22,22,21,NULL,1009,37127,27530,27530,0.6408,41500,35800,37500,40600,39900,0.3805,0.6195
Roosevelt University,Chicago,IL,www.roosevelt.edu,2,3,11,41.876055,-87.624952,18,12,0.7764,540,510,546,23,23,22,NULL,1050,42022,26900,26900,0.6503,46800,36800,41400,42500,45200,0.3703,0.6297
Dominican University,River Forest,IL,www.dom.edu/,2,3,21,41.902834,-87.821872,18,10,0.6067,440,505,500,22,22,23,NULL,1029,36761,29770,29770,0.8068,45700,34900,39800,41800,46100,0.3397,0.6603
University of St Francis,Joliet,IL,www.stfrancis.edu,2,3,21,41.533341,-88.096368,18,10,0.5056,490,495,480,23,23,23,NULL,1064,36919,28790,28790,0.8101,47700,45700,46100,49100,47000,0.3181,0.6819
Saint Xavier University,Chicago,IL,WWW.SXU.EDU,2,3,11,41.707763,-87.713507,18,13,0.4964,474,449,466,22,22,21,NULL,1008,36152,30100,30100,0.7479,48100,40800,42700,44500,47800,0.331,0.669
University of Illinois at Springfield,Springfield,IL,www.uis.edu,1,3,12,39.729862,-89.614917,18,13,0.6158,455,545,465,24,23,22,7,1081,21630,11367,20517,0.7917,45400,35700,40100,43700,41700,0.4901,0.5099
Southern Illinois University-Carbondale,Carbondale,IL,www.siu.edu,1,3,13,37.713239,-89.218724,16,16,0.8153,553,565,NULL,23,23,22,NULL,1055,25105,12248,24871,0.6814,47400,34800,40000,42100,45300,0.5432,0.4568
Southern Illinois University-Edwardsville,Edwardsville,IL,www.siue.edu,1,3,21,38.793949,-89.997779,18,16,0.8696,520,525,493,23,23,23,NULL,1070,22219,9738,20682,0.7264,45900,36300,40000,43200,44400,0.4701,0.5299
Trinity Christian College,Palos Heights,IL,www.trnty.edu,2,3,21,41.669189,-87.784157,22,10,0.9022,505,540,NULL,24,24,23,NULL,1080,35139,25515,25515,0.8424,45500,35600,39200,39200,41400,0.3452,0.6548
Western Illinois University,Macomb,IL,www.wiu.edu,1,3,33,40.465621,-90.685235,18,16,0.6964,NULL,NULL,NULL,21,20,20,NULL,970,25074,12217,16533,0.7205,44900,34000,38000,40600,43000,0.5071,0.4929
Wheaton College,Wheaton,IL,www.wheaton.edu,2,3,21,41.870943,-88.09681,21,11,0.6915,655,645,650,30,31,29,9,1311,42390,31900,31900,0.933,48700,35700,38900,46800,47200,0.4792,0.5208
Chamberlain College of Nursing-Illinois,Addison,IL,www.chamberlain.edu,3,3,21,41.949727,-88.038558,26,12,0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31266,17280,17280,0.5385,58000,65000,53600,57300,57300,0.091,0.909
