INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Delaware State University,Dover,DE,www.desu.edu,1,2,13,39.187173,-75.54053,19,14,0.4374,445,450,430,19,19,18,NULL,894,20587,7336,15692,0.6891,36100,28200,30200,31900,34800,0.3716,0.6284
University of Delaware,Newark,DE,www.udel.edu/,1,2,21,39.6795744,-75.7529169,15,16,0.6783,585,605,585,27,27,27,9,1194,23357,12342,30692,0.9149,60400,43800,49600,53100,56200,0.4247,0.5753
Goldey-Beacom College,Wilmington,DE,www.gbc.edu,2,2,21,39.742464,-75.694018,29,10,0.5095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33225,22500,22500,0.7634,48100,34800,37900,39400,45400,0.4626,0.5374
Wesley College,Dover,DE,www.wesley.edu,2,2,13,39.16325,-75.527377,22,11,0.567,430,430,425,17,15,17,NULL,853,37617,24100,24100,0.54,45100,34500,38600,39800,43200,0.4423,0.5577
