INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Brown University,Providence,RI,www.brown.edu,2,1,12,41.827605,-71.404467,15,14,0.0874,715,725,725,32,33,31,NULL,1435,60460,47434,47434,0.9754,81500,56000,65600,68500,75300,0.488,0.512
Bryant University,Smithfield,RI,www.bryant.edu,2,1,21,41.920149,-71.539147,19,14,0.7508,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52507,38574,38574,0.8718,69900,51800,53800,60300,61800,0.5857,0.4143
Johnson & Wales University-Providence,Providence,RI,www.jwu.edu,2,1,12,41.820558,-71.413322,18,13,0.8115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40684,28539,28539,0.792,38800,30700,33800,35400,37000,0.4028,0.5972
Providence College,Providence,RI,www.providence.edu,2,1,12,41.844064,-71.43792,18,14,0.6306,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57517,44323,44323,0.9192,65300,45100,53000,59400,63200,0.4385,0.5615
Rhode Island College,Providence,RI,www.ric.edu,1,1,21,41.84266,-71.466915,18,12,0.6545,460,460,455,19,18,18,7,918,15480,7602,18300,0.7863,40600,32700,35300,37600,39500,0.324,0.676
University of Rhode Island,Kingston,RI,www.uri.edu/,1,1,21,41.484691,-71.527356,16,16,0.7681,530,540,530,24,NULL,NULL,NULL,1077,26452,12506,28072,0.8195,53700,40500,46100,49100,51200,0.4599,0.5401
Rhode Island School of Design,Providence,RI,www.risd.edu,2,1,12,41.825935,-71.407692,30,11,0.3259,605,640,630,30,31,30,NULL,1254,61352,44594,44594,0.9538,48200,37300,38100,44900,47300,0.3332,0.6668
Roger Williams University,Bristol,RI,www.rwu.edu,2,1,21,41.647314,-71.261836,19,14,0.7794,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48826,31750,31750,0.7913,50800,38800,42300,46900,48500,0.495,0.505
Salve Regina University,Newport,RI,www.salve.edu,2,1,21,41.471445,-71.301125,19,11,0.7099,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49636,35690,35690,0.838,51600,43100,43700,46900,47900,0.3008,0.6992
