INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Chaminade University of Honolulu,Honolulu,HI,www.chaminade.edu,2,8,11,21.290274,-157.807642,18,10,0.8562,470,480,NULL,21,20,20,NULL,958,31860,20940,20940,0.7643,41700,31900,36200,37100,39600,0.3589,0.6411
University of Hawaii at Hilo,Hilo,HI,hilo.hawaii.edu,1,8,33,19.701854,-155.081329,20,13,0.7134,465,475,NULL,20,18,20,NULL,936,16372,7036,19036,0.6612,37100,30100,31600,35000,37400,0.3964,0.6036
University of Hawaii at Manoa,Honolulu,HI,manoa.hawaii.edu,1,8,11,21.292648,-157.816607,15,16,0.7882,530,555,520,23,23,23,8,1070,19106,10620,29412,0.7894,50500,36600,40600,43700,47700,0.4528,0.5472
Hawaii Pacific University,Honolulu,HI,www.hpu.edu,2,8,11,21.31027,-157.859401,18,12,0.6183,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32448,21130,21130,0.6996,48800,41900,45500,49900,47900,0.433,0.567
University of Hawaii-West Oahu,Kapolei,HI,uhwo.hawaii.edu,1,8,21,21.354897,-158.061825,22,9,0.709,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11521,6888,18888,0.6121,40300,34400,37300,38000,40500,0.3482,0.6518
Brigham Young University-Hawaii,Laie,HI,www.byuh.edu/,2,8,31,21.641172,-157.925358,22,11,0.3486,525,545,NULL,25,25,24,NULL,1110,16128,4940,4940,0.6094,46800,33900,36100,38500,41800,0.4298,0.5702
