INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Mount Carmel College of Nursing,Columbus,OH,www.mccn.edu,2,3,11,39.957008,-83.021152,26,6,0.7389,NULL,NULL,NULL,22,23,22,NULL,1030,19939,12016,12016,0.8837,55500,49800,53100,54200,55600,0.0994,0.9006
University of Mount Union,Alliance,OH,www.mountunion.edu,2,3,31,40.905093,-81.108624,22,11,0.7355,495,515,NULL,23,22,23,NULL,1057,38400,27990,27990,0.7826,46800,35300,39600,41000,42500,0.5089,0.4911
Mount Vernon Nazarene University,Mount Vernon,OH,www.mvnu.edu,2,3,32,40.373859,-82.474667,18,11,0.7598,495,490,NULL,23,23,22,NULL,1046,34801,24650,24650,0.8239,45000,37700,40200,43900,42400,0.3623,0.6377
Mount Saint Joseph University,Cincinnati,OH,www.msj.edu,2,3,21,39.094519,-84.640143,19,9,0.8762,500,485,NULL,22,20,21,NULL,1005,32785,26850,26850,0.6667,43900,34000,38800,37600,41100,0.4135,0.5865
Muskingum University,New Concord,OH,www.muskingum.edu/,2,3,32,39.996635,-81.737192,19,11,0.7644,490,510,480,22,21,22,7,1009,35175,24676,24676,0.7072,40500,30800,32700,35300,39500,0.4518,0.5482
Notre Dame College,Cleveland,OH,www.notredamecollege.edu,2,3,21,41.506938,-81.516212,20,10,0.895,435,445,NULL,20,19,20,NULL,937,36645,26844,26844,0.6231,43200,32100,37200,38400,42500,0.4456,0.5544
Oberlin College,Oberlin,OH,www.oberlin.edu,2,3,31,41.29474,-82.221786,21,11,0.3272,685,670,685,30,32,30,NULL,1349,62051,48682,48682,0.9431,46100,28600,31700,35400,42000,0.4455,0.5545
Ohio Dominican University,Columbus,OH,www.ohiodominican.edu,2,3,11,39.99265,-82.940499,19,10,0.4657,465,485,450,22,26,22,NULL,1005,41470,29430,29430,0.6962,41100,37300,37500,39900,41400,0.46,0.54
Ohio Northern University,Ada,OH,www.onu.edu/,2,3,31,40.766144,-83.830729,22,14,0.6859,570,590,555,26,26,27,NULL,1180,50960,28050,28050,0.8825,69000,53800,68300,67600,66700,0.5255,0.4745
Ohio State University-Main Campus,Columbus,OH,www.osu.edu/,1,3,11,39.998389,-83.009001,15,16,0.5296,600,675,610,29,29,29,9,1292,25029,10037,26537,0.9367,48900,37800,40800,44200,46400,0.526,0.474
Ohio University-Main Campus,Athens,OH,www.ohio.edu,1,3,32,39.326799,-82.101064,16,16,0.7427,545,545,525,24,24,23,8,1106,24990,10602,19566,0.8011,43700,32900,36400,38300,41800,0.4013,0.5987
Ohio Wesleyan University,Delaware,OH,www.owu.edu/,2,3,21,40.296912,-83.067912,21,11,0.743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55547,41920,41920,0.7892,49100,32300,37800,40500,44400,0.4661,0.5339
Otterbein University,Westerville,OH,www.otterbein.edu,2,3,21,40.12534,-82.936231,19,11,0.7531,554,560,535,24,23,23,NULL,1094,43190,31442,31442,0.7817,45100,34400,37600,40300,42700,0.3893,0.6107
Franciscan University of Steubenville,Steubenville,OH,www.franciscan.edu,2,3,13,40.376086,-80.623094,19,11,0.7792,600,580,NULL,26,28,24,NULL,1183,33851,23930,23930,0.8656,40700,32200,34300,36300,36500,0.3826,0.6174
Tiffin University,Tiffin,OH,www.tiffin.edu,2,3,32,41.119193,-83.18355,18,10,0.5438,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35023,21535,21535,0.6244,43000,36000,36600,40400,41000,0.4706,0.5294
University of Toledo,Toledo,OH,www.utoledo.edu/,1,3,11,41.65795,-83.615225,16,15,0.9473,508,535,485,22,22,22,7,1031,21480,9463,18801,0.7006,46300,37300,41100,44600,43800,0.5177,0.4823
Ursuline College,Pepper Pike,OH,www.ursuline.edu,2,3,21,41.494971,-81.466716,18,6,0.6551,510,520,485,22,21,21,7,1014,37601,27700,27700,0.7157,47300,42100,43600,45800,49100,0.0749,0.9251
Walsh University,North Canton,OH,www.walsh.edu,2,3,21,40.873295,-81.36911,19,10,0.8068,495,510,NULL,23,22,22,NULL,1043,36976,26650,26650,0.7622,45300,38800,38900,40300,45100,0.3855,0.6145
Wilberforce University,Wilberforce,OH,www.wilberforce.edu,2,3,41,39.707993,-83.879358,22,8,0.3754,NULL,NULL,NULL,15,14,16,NULL,735,26890,15140,15140,0.3286,35700,27900,33000,34500,36700,0.4011,0.5989
Wilmington College,Wilmington,OH,www.wilmington.edu,2,3,41,39.441097,-83.817271,22,11,0.9537,NULL,475,NULL,21,22,21,NULL,970,40098,29120,29120,0.6825,40700,31100,34300,36600,41700,0.4599,0.5401
Wittenberg University,Springfield,OH,www.wittenberg.edu,2,3,13,39.937463,-83.814082,21,11,0.9138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50115,38030,38030,0.7996,44600,33700,36700,40600,44300,0.4357,0.5643
The College of Wooster,Wooster,OH,www.wooster.edu,2,3,32,40.81046,-81.934674,21,11,0.5909,595,615,595,28,28,27,8,1229,53500,43350,43350,0.8946,51300,34300,39600,43300,44900,0.4485,0.5515
Xavier University,Cincinnati,OH,www.xavier.edu,2,3,11,39.149291,-84.477648,18,14,0.7315,545,545,535,25,25,25,NULL,1113,46740,33960,33960,0.8465,52900,40700,45000,49300,51800,0.4559,0.5441
Youngstown State University,Youngstown,OH,www.ysu.edu,1,3,13,41.105583,-80.646515,18,15,0.833,475,485,460,21,20,21,NULL,985,16029,8317,8557,0.6986,37900,31100,32700,34600,37000,0.472,0.528
Chamberlain College of Nursing-Ohio,Columbus,OH,www.chamberlain.edu,3,3,11,39.940449,-82.940493,26,6,0.871,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28670,17280,17280,0.7692,58000,65000,53600,57300,57300,0.1331,0.8669
